SPOLE,-90,0
NOBEY,-77.75,165.7
BYRRD,-77.5,165
RAPPY,-77.175628,165.227214
LIBTI,-76.2,166.45
JEHOO,-76.183833,165.85675
BOLAD,-75.033333,167.55
BOENZ,-75,166.5
JIPIG,-74.166667,166.868333
HALET,-72.5,170
GAKTO,-70,171
70S67,-70,167
SNIPT,-70,168.333333
6972S,-69,72
6785S,-67,85
6795S,-67,95
67S00,-67,100
6790S,-67,90
WR2WA,-66.753406,110.982333
WR2WM,-66.690083,111.487472
WR2WF,-66.684081,111.278325
WR2WI,-66.6778,111.069294
WR2WB,-66.671242,110.860375
WR2WC,-66.597767,111.013225
66S35,-66,135
66S30,-66,130
66S20,-66,120
IPLUG,-65,171.583333
URROA,-65,169.533333
WEDG,-65,84.723333
65S14,-65,114
65S11,-65,111
R237K,-64.290383,-56.93915
MBI8,-64.284233,-56.903628
MBI02,-64.222258,-56.549253
MBI06,-64.197228,-56.407947
MBI08,-64.184664,-56.337392
MBI09,-64.178367,-56.302136
R316I,-64.109208,-56.806253
UDEPI,-63.391389,-57.836944
PULAP,-62.311944,-58.515278
07IRJ,-62.277914,-58.777308
10IRJ,-62.271808,-58.671494
IRJ07,-62.247503,-58.734414
FF29,-62.247333,-58.764664
05IRJ,-62.231408,-58.827206
EP11,-62.187747,-58.997325
IRJ05,-62.156944,-59.144781
IRJ7,-62.141989,-59.177728
IRJ10,-62.122864,-59.306697
7IRJ,-62.113575,-59.129156
PAMES,-62.0875,-59.467222
R283T,-62.0516,-59.626944
KAGEN,-62.000556,-59.667778
IRJ20,-61.935856,-59.436875
IRJ23,-61.897481,-59.504378
IRJ30,-61.807808,-59.661225
IRJ45,-61.615194,-59.994628
KRILL,-61.206111,-60.686389
RAXOS,-61.000556,-57.229167
MIDAL,-60.000278,-62.084444
WEDF,-60,94.186667
FRITH,-60,170.333333
60S42,-60,142
KARKO,-60,172.083333
IRIRO,-60,-53
60S61,-60,161
60S27,-60,127
DRAKE,-59.307778,-63.594722
VURGI,-58.000278,-57.689167
LOMUR,-58.000278,-64.168056
HORNO,-56.476667,-67.266667
GEBOS,-56.38,-65.733333
GEMIL,-55.000278,-58.074167
MIBAD,-55,172.45
WEDE,-55,100.534444
55S44,-55,144
MYLUS,-55,170.916667
55S59,-55,159
55S35,-55,135
BONTA,-55,-66.833333
5510S,-55,10
5505W,-55,-5
SUNLI,-54.963056,-68.736667
12US,-54.95105,-67.991794
PWL07,-54.914711,-67.420636
WH768,-54.906997,-67.705822
US14,-54.905833,-67.891825
WH292,-54.903883,-68.232983
US12,-54.896775,-67.947389
WH064,-54.89415,-67.819125
WH488,-54.881344,-67.948131
16US,-54.879167,-67.8225
US80,-54.877589,-68.057925
RENEN,-54.870647,-68.023864
US44,-54.860253,-68.157328
US40,-54.858303,-68.168356
WH876,-54.853658,-68.124664
